"State","Abbr","City","Beer_Name","Beer_ID","ABV","IBU","Brewery_id","Brewery_Name","Style","Ale_Style","Ounces"
"California","CA","Diamond Springs","Sprocket Blonde Ale (2006)",1735,0.05,115,334,"David's Ale Works","American Blonde Ale","Ale",12
"California","CA","Diamond Springs","Sprocket Pale Ale (2006)",1734,0.05,101,334,"David's Ale Works","American Pale Ale (APA)","Ale",12
"California","CA","Vista","Cali Creamin'",2413,0.052,100,112,"Mother Earth Brew Company","Cream Ale","Ale",12
"California","CA","San Francisco","California Lager",2103,0.049,100,36,"Anchor Brewing Company","American Amber / Red Lager","other beer",12
"California","CA","Boonville","Summer Solstice (2011)",77,0.056,99,172,"Anderson Valley Brewing Company","Cream Ale","Ale",12
"California","CA","Boonville","Summer Solstice Cerveza Crema (2009)",753,0.056,95,172,"Anderson Valley Brewing Company","Cream Ale","Ale",12
"California","CA","San Francisco","Baby Daddy Session IPA",2486,0.047,94,79,"Speakasy Ales & Lagers","American IPA","IPA",12
"California","CA","Boonville","Winter Solstice",523,0.069,93,172,"Anderson Valley Brewing Company","Winter Warmer","other beer",12
"California","CA","San Diego","Blazing World",1492,0.065,92,210,"Modern Times Beer","American Amber / Red Ale","Ale",16
"California","CA","Los Angeles","Point the Way IPA (2012)",549,0.059,92,241,"Golden Road Brewing","American IPA","IPA",16
"California","CA","Paso Robles","805 Blonde Ale",1957,0.047,88,49,"Firestone Walker Brewing Company","American Blonde Ale","Ale",12
"California","CA","Chico","CANfusion Rye Bock",1918,0.06,88,84,"Sierra Nevada Brewing Company","Rye Beer","other beer",12
"California","CA","San Diego","Jucundus",2666,0.06,86,4,"Mike Hess Brewing Company","Wheat Ale","Ale",16
"California","CA","Buellton","FMB 101",1968,0.048,85,37,"Figueroa Mountain Brewing Company","Kölsch","other beer",12
"California","CA","Boonville","Blood Orange Gose",2291,0.042,85,172,"Anderson Valley Brewing Company","Gose","other beer",12
"California","CA","Santa Cruz","Bacon Brown Ale",543,0.068,85,523,"Uncommon Brewers","American Brown Ale","Ale",16
"California","CA","Mammoth Lakes","Real McCoy Amber Ale (Current)",73,0.045,85,535,"Mammoth Brewing Company","American Amber / Red Ale","Ale",12
"California","CA","Sacramento","CAPT Black IPA",1478,0.073,85,398,"Ruhstaller Beer Company","American Black Ale","Ale",12
"California","CA","Sacramento","CAPT Black IPA",883,0.073,80,398,"Ruhstaller Beer Company","American Black Ale","Ale",16
"California","CA","Santa Cruz","Scotty K NA",606,0.001,80,523,"Uncommon Brewers","Low Alcohol Beer","other beer",16
"California","CA","Los Angeles","Wolf Among Weeds IPA (2012)",749,0.08,77,241,"Golden Road Brewing","American IPA","IPA",16
"California","CA","Chico","Old Chico Crystal Wheat",1338,0.048,77,84,"Sierra Nevada Brewing Company","American Pale Wheat Ale","Ale",12
"California","CA","Paso Robles","Pivo Pils",2462,0.053,75,49,"Firestone Walker Brewing Company","German Pilsener","other beer",12
"California","CA","Torrance","Kolschtal Eddy",2035,0.055,75,34,"The Dudes' Brewing Company","Kölsch","other beer",16
"California","CA","Ukiah","Pilsner Ukiah",98,0.055,75,556,"Ukiah Brewing Company","German Pilsener","other beer",12
"California","CA","San Francisco","Lower De Boom",1036,0.099,75,369,"21st Amendment Brewery","American Barleywine","other beer",8.4
"California","CA","Santa Cruz","Casinos IPA",1362,0.07,75,253,"Santa Cruz Mountain Brewing","English India Pale Ale (IPA)","IPA",16
"California","CA","San Diego","City of the Sun",2159,0.075,75,210,"Modern Times Beer","American IPA","IPA",16
"California","CA","Boonville","Barney Flats Oatmeal Stout",1520,0.057,74,172,"Anderson Valley Brewing Company","Oatmeal Stout","other beer",12
"California","CA","San Luis Obispo","Catch 23",1646,0.075,70,351,"Central Coast Brewing Company","American Black Ale","Ale",16
"California","CA","Boonville","Barney Flats Oatmeal Stout (2012)",572,0.057,70,172,"Anderson Valley Brewing Company","Oatmeal Stout","other beer",12
"California","CA","San Diego","Habitus IPA",1346,0.08,70,424,"Hess Brewing Company","American IPA","IPA",16
"California","CA","Temecula","Black Market Hefeweizen",1897,0.05,70,113,"Black Market Brewing Company","Hefeweizen","other beer",12
"California","CA","Belmont","Full Boar Scotch Ale",647,0.074,70,492,"Devil's Canyon Brewery","Scotch Ale / Wee Heavy","Ale",16
"California","CA","Half Moon Bay","Pit Stop Chocolate Porter",1237,0.037,70,449,"Mavericks Beer Company","American Porter","other beer",12
"California","CA","San Diego","Shipwrecked Double IPA",1459,0.092,70,99,"Mission Brewery","American Double / Imperial IPA","IPA",32
"California","CA","Los Angeles","Point the Way IPA",1296,0.059,66,241,"Golden Road Brewing","American IPA","IPA",12
"California","CA","San Francisco","Hell or High Watermelon Wheat (2009)",801,0.049,66,369,"21st Amendment Brewery","Fruit / Vegetable Beer","other beer",12
"California","CA","San Diego","Rich Man's IIPA",718,0.087,65,515,"Monkey Paw Pub & Brewery","American Double / Imperial IPA","IPA",16
"California","CA","San Luis Obispo","Chai Ale",1649,0.051,65,351,"Central Coast Brewing Company","Herbed / Spiced Beer","other beer",16
"California","CA","Redlands","Hangar 24 Helles Lager",1015,0.043,65,477,"Hangar 24 Craft Brewery","Munich Helles Lager","other beer",12
"California","CA","Carlsbad","Swami's India Pale Ale",1191,0.068,65,371,"Pizza Port Brewing Company","American IPA","IPA",16
"California","CA","Santee","Chaotic Double IPA",1674,0.099,65,347,"Manzanita Brewing Company","American Double / Imperial IPA","IPA",12
"California","CA","Boonville","Summer Solstice",1350,0.056,65,172,"Anderson Valley Brewing Company","Cream Ale","Ale",12
"California","CA","Los Angeles","Might As Well IPL",2045,0.072,60,241,"Golden Road Brewing","American Pale Lager","other beer",16
"California","CA","San Diego","Blacktop Blonde",622,0.05,60,450,"TailGate Beer","American Blonde Ale","Ale",24
"California","CA","Temecula","Aftermath Pale Ale",1896,0.058,60,113,"Black Market Brewing Company","American Pale Ale (APA)","Ale",12
"California","CA","San Francisco","Summer Wheat",2577,0.045,60,36,"Anchor Brewing Company","American Pale Wheat Ale","Ale",12
"California","CA","Santee","Manzanita Pale Ale",1670,0.066,60,347,"Manzanita Brewing Company","American Pale Ale (APA)","Ale",12
"California","CA","Los Angeles","Heal the Bay IPA",1399,0.068,55,241,"Golden Road Brewing","American IPA","IPA",16
"California","CA","Santa Cruz","Giant DIPA",2002,0.089,55,253,"Santa Cruz Mountain Brewing","American Double / Imperial IPA","IPA",16
"California","CA","San Francisco","KSA",2659,0.046,53,5,"Fort Point Beer Company","Kölsch","other beer",12
"California","CA","Redlands","Orange Wheat",1016,0.046,52,477,"Hangar 24 Craft Brewery","Fruit / Vegetable Beer","other beer",12
"California","CA","San Francisco","Back in Black",173,0.068,50,369,"21st Amendment Brewery","American Black Ale","Ale",12
"California","CA","Santa Cruz","Siamese twin",25,0.085,49,523,"Uncommon Brewers","Dubbel","other beer",16
"California","CA","Santee","Riverwalk Blonde Ale",1672,0.06,47,347,"Manzanita Brewing Company","American Blonde Ale","Ale",12
"California","CA","San Francisco","Bitter American (2011)",353,0.044,46,369,"21st Amendment Brewery","American Pale Ale (APA)","Ale",12
"California","CA","Carlsbad","Chronic Ale",1457,0.049,45,371,"Pizza Port Brewing Company","American Amber / Red Ale","Ale",16
"California","CA","Chico","Sierra Nevada Pale Ale",400,0.056,45,84,"Sierra Nevada Brewing Company","American Pale Ale (APA)","Ale",12
"California","CA","Los Angeles","Point the Way IPA",1490,0.059,45,241,"Golden Road Brewing","American IPA","IPA",16
"California","CA","Santee","Manzanita IPA",1673,0.08,44,347,"Manzanita Brewing Company","American IPA","IPA",12
"California","CA","Torrance","Surfrider",2594,0.052,44,34,"The Dudes' Brewing Company","American Pale Ale (APA)","Ale",16
"California","CA","San Diego","Oneida",2156,0.052,44,210,"Modern Times Beer","American Pale Ale (APA)","Ale",16
"California","CA","Chico","Yonder Bock",1919,0.06,44,84,"Sierra Nevada Brewing Company","Maibock / Helles Bock","other beer",12
"California","CA","Santee","Gillespie Brown Ale",1671,0.095,44,347,"Manzanita Brewing Company","American Brown Ale","Ale",12
"California","CA","San Francisco","Marooned On Hog Island",976,0.079,42,369,"21st Amendment Brewery","American Stout","other beer",12
"California","CA","Boonville","Fall Hornin'",1563,0.06,42,172,"Anderson Valley Brewing Company","Pumpkin Ale","Ale",12
"California","CA","San Francisco","Atom Splitter Pale Ale",1437,0.05,42,311,"Pine Street Brewery","American Pale Ale (APA)","Ale",12
"California","CA","Carlsbad","PONTO S.I.P.A.",1589,0.045,42,371,"Pizza Port Brewing Company","American IPA","IPA",16
"California","CA","San Diego","Claritas",2662,0.058,40,4,"Mike Hess Brewing Company","Kölsch","other beer",16
"California","CA","San Francisco","He Said Baltic-Style Porter",1593,0.082,40,369,"21st Amendment Brewery","Baltic Porter","other beer",12
"California","CA","Los Angeles","Better Weather IPA",1641,0.094,40,241,"Golden Road Brewing","American IPA","IPA",16
"California","CA","Carlsbad","Mucho Aloha Hawaiian Pale Ale",668,0.056,40,518,"Butcher's Brewing","American Pale Ale (APA)","Ale",12
"California","CA","San Diego","Habitus (2014)",2668,0.08,37,4,"Mike Hess Brewing Company","American Double / Imperial IPA","IPA",16
"California","CA","San Francisco","IPA",2578,0.065,37,36,"Anchor Brewing Company","American IPA","IPA",12
"California","CA","San Francisco","Park",2661,0.047,36,5,"Fort Point Beer Company","American Pale Wheat Ale","Ale",12
"California","CA","Mill Valley","Hill 88 Double IPA",1893,0.088,35,281,"Headlands Brewing Company","American Double / Imperial IPA","IPA",16
"California","CA","Chico","Summerfest",1295,0.05,35,84,"Sierra Nevada Brewing Company","Czech Pilsener","other beer",12
"California","CA","San Diego","TailGate Hefeweizen",361,0.049,35,450,"TailGate Beer","Hefeweizen","other beer",12
"California","CA","Boonville","Boont Amber Ale (2011)",78,0.058,35,172,"Anderson Valley Brewing Company","American Amber / Red Ale","Ale",12
"California","CA","Buellton","Weiss Weiss Baby",2591,0.045,35,37,"Figueroa Mountain Brewing Company","Kristalweizen","other beer",12
"California","CA","San Diego","TailGate Saison",1164,0.05,35,450,"TailGate Beer","Saison / Farmhouse Ale","Ale",12
"California","CA","Los Angeles","Golden Road Hefeweizen (2012)",548,0.046,35,241,"Golden Road Brewing","Hefeweizen","other beer",16
"California","CA","San Diego","Sweet Georgia Brown",719,0.054,34,515,"Monkey Paw Pub & Brewery","American Brown Ale","Ale",16
"California","CA","Temecula","Blackmarket Rye IPA",1898,0.075,34,113,"Black Market Brewing Company","American IPA","IPA",12
"California","CA","San Diego","Saint Archer IPA",1867,0.068,30,289,"Saint Archer Brewery","American IPA","IPA",12
"California","CA","San Diego","Blacktop Blonde",362,0.05,30,450,"TailGate Beer","American Blonde Ale","Ale",12
"California","CA","San Diego","Ballast Point Pale Ale",1401,0.052,30,35,"Ballast Point Brewing Company","Kölsch","other beer",12
"California","CA","Santa Cruz","Dread Brown Ale",1683,0.054,28,253,"Santa Cruz Mountain Brewing","American Brown Ale","Ale",12
"California","CA","San Luis Obispo","Terrace Hill Double IPA",1647,0.095,28,351,"Central Coast Brewing Company","American Double / Imperial IPA","IPA",16
"California","CA","Santa Cruz","Baltic Porter",346,0.078,28,523,"Uncommon Brewers","Baltic Porter","other beer",16
"California","CA","San Francisco","Black Bay Milk Stout",1797,0.05,28,311,"Pine Street Brewery","Milk / Sweet Stout","other beer",12
"California","CA","San Diego","Sculpin IPA",1018,0.07,28,35,"Ballast Point Brewing Company","American IPA","IPA",12
"California","CA","Boonville","the Kimmie, the Yink and the Holy Gose",1738,0.048,27,172,"Anderson Valley Brewing Company","Gose","other beer",12
"California","CA","Boonville","El Steinber Dark Lager",1217,0.055,26,172,"Anderson Valley Brewing Company","Vienna Lager","other beer",16
"California","CA","Buellton","Czech Yo Self",2590,0.055,25,37,"Figueroa Mountain Brewing Company","Czech Pilsener","other beer",12
"California","CA","South San Francisco","Mo's Gose",1172,0.052,25,462,"Armstrong Brewing Company","Gose","other beer",16
"California","CA","Mill Valley","Pt. Bonita Rustic Lager",1894,0.062,24,281,"Headlands Brewing Company","American Pale Lager","other beer",16
"California","CA","San Diego","Habitus",2664,0.08,23,4,"Mike Hess Brewing Company","American Double / Imperial IPA","IPA",16
"California","CA","Mammoth Lakes","High Country Pilsner (Current)",511,0.042,22,535,"Mammoth Brewing Company","German Pilsener","other beer",12
"California","CA","Belmont","Deadicated Amber",924,0.054,21,492,"Devil's Canyon Brewery","American Amber / Red Ale","Ale",16
"California","CA","Los Angeles","Wolf Among Weeds IPA",1698,0.08,21,241,"Golden Road Brewing","American IPA","IPA",16
"California","CA","Boonville","Hop Ottin' IPA (2011)",367,0.07,20,172,"Anderson Valley Brewing Company","American IPA","IPA",12
"California","CA","San Diego","Booming Rollers",2157,0.068,20,210,"Modern Times Beer","American IPA","IPA",16
"California","CA","Boonville","Boont Amber Ale",1326,0.058,19,172,"Anderson Valley Brewing Company","American Amber / Red Ale","Ale",12
"California","CA","Mill Valley","Groupe G",1895,0.076,19,281,"Headlands Brewing Company","Belgian IPA","IPA",16
"California","CA","Half Moon Bay","Pace Setter Belgian Style Wit",1236,0.037,19,449,"Mavericks Beer Company","Witbier","other beer",12
"California","CA","San Diego","Cortez Gold",2442,0.05,17,99,"Mission Brewery","Belgian Pale Ale","Ale",32
"California","CA","San Diego","Aurora ",2154,0.067,17,210,"Modern Times Beer","American Amber / Red Ale","Ale",16
"California","CA","Torrance","South Bay Session IPA",2034,0.05,17,34,"The Dudes' Brewing Company","American IPA","IPA",16
"California","CA","San Luis Obispo","Lucky Day IPA",1648,0.072,17,351,"Central Coast Brewing Company","American IPA","IPA",16
"California","CA","Temecula","Blood Orange Wit",2087,0.05,17,226,"Refuge Brewery","Witbier","other beer",16
"California","CA","Torrance","Grandma's Pecan",1562,0.069,17,34,"The Dudes' Brewing Company","English Brown Ale","Ale",16
"California","CA","Temecula","Deception",2412,0.045,16,113,"Black Market Brewing Company","American Blonde Ale","Ale",12
"California","CA","San Diego","Saint Archer White Ale",1868,0.05,16,289,"Saint Archer Brewery","Witbier","other beer",12
"California","CA","Chico","Torpedo",426,0.072,16,84,"Sierra Nevada Brewing Company","American IPA","IPA",16
"California","CA","San Francisco","Fireside Chat",1024,0.079,15,369,"21st Amendment Brewery","Winter Warmer","other beer",12
"California","CA","San Diego","El Conquistador Extra Pale Ale",1460,0.048,15,99,"Mission Brewery","American Pale Ale (APA)","Ale",32
"California","CA","Mammoth Lakes","Epic IPA",75,0.065,15,535,"Mammoth Brewing Company","American IPA","IPA",12
"California","CA","San Diego","Mission IPA",2441,0.068,15,99,"Mission Brewery","American IPA","IPA",32
"California","CA","Half Moon Bay","Back in the Saddle Rye Pale Ale",1047,0.037,15,449,"Mavericks Beer Company","American Pale Ale (APA)","Ale",12
"California","CA","San Diego","Even Keel",2105,0.038,15,35,"Ballast Point Brewing Company","American IPA","IPA",12
"California","CA","San Diego","Fortunate Islands",1494,0.047,15,210,"Modern Times Beer","American Pale Wheat Ale","Ale",16
"California","CA","San Diego","Ex Umbris Rye Imperial Stout",904,0.099,14,424,"Hess Brewing Company","American Double / Imperial Stout","other beer",16
"California","CA","Santa Cruz","Blur India Pale Ale",1302,0.074,13,433,"Seabright Brewery","American IPA","IPA",12
"California","CA","Chico","Torpedo",2239,0.072,13,84,"Sierra Nevada Brewing Company","American IPA","IPA",12
"California","CA","Boonville","Hop Ottin' IPA",1327,0.07,13,172,"Anderson Valley Brewing Company","American IPA","IPA",12
"California","CA","Chico","Sierra Nevada Pale Ale",1905,0.056,12,84,"Sierra Nevada Brewing Company","American Pale Ale (APA)","Ale",16
"California","CA","Paso Robles","Easy Jack",2569,0.045,10,49,"Firestone Walker Brewing Company","American IPA","IPA",12
"California","CA","Boonville","Poleeko Gold Pale Ale (2009)",76,0.055,8,172,"Anderson Valley Brewing Company","American Pale Ale (APA)","Ale",12
"California","CA","San Diego","Black House",1493,0.058,6,210,"Modern Times Beer","American Stout","other beer",16
"California","CA","Los Angeles","Get Up Offa That Brown",991,0.055,4,241,"Golden Road Brewing","American Brown Ale","Ale",16
"California","CA","Boonville","Barney Flats Oatmeal Stout",1221,0.057,4,172,"Anderson Valley Brewing Company","Oatmeal Stout","other beer",12
"California","CA","San Diego","Longfin Lager",1019,0.046,4,35,"Ballast Point Brewing Company","Munich Helles Lager","other beer",12
"Colorado","CO","Longmont","Centennial State Pale Ale",1883,0.052,104,167,"Oskar Blues Brewery","American Pale Ale (APA)","Ale",19.2
"Colorado","CO","Arvada","Psycho Penguin Vanilla Porter",2333,0.054,100,149,"Odyssey Beerwerks","American Porter","other beer",12
"Colorado","CO","Denver","American Red Porter",1849,0.071,100,295,"Black Shirt Brewing Company","American Porter","other beer",12
"Colorado","CO","Fort Collins","Fat Tire Amber Ale",563,0.052,100,83,"New Belgium Brewing Company","American Amber / Red Ale","Ale",16
"Colorado","CO","Boulder","Lee Hill Series Vol. 2 - Wild Saison",2563,0.068,100,52,"Upslope Brewing Company","American Wild Ale","Ale",19.2
"Colorado","CO","Boulder","Lee Hill Series Vol. 5 - Belgian Style Quadrupel Ale",2565,0.128,100,52,"Upslope Brewing Company","Quadrupel (Quad)","other beer",19.2
"Colorado","CO","Fort Collins","Shift",1987,0.05,98,83,"New Belgium Brewing Company","American Pale Lager","other beer",12
"Colorado","CO","Denver","Whitewater",2648,0.061,98,7,"Great Divide Brewing Company","American Pale Wheat Ale","Ale",12
"Colorado","CO","Lyons","Dale's Pale Ale (2004)",743,0.065,98,504,"Oskar Blues Brewery","American Pale Ale (APA)","Ale",12
"Colorado","CO","Denver","Avalanche Ale",83,0.054,94,392,"Breckenridge Brewery","American Amber / Red Ale","Ale",12
"Colorado","CO","Boulder","Black Raspberry Nectar",1373,0.08,90,422,"Redstone Meadery","Mead","other beer",16
"Colorado","CO","Fort Collins","Ranger IPA (Current)",115,0.065,87,83,"New Belgium Brewing Company","American IPA","IPA",12
"Colorado","CO","Aurora","Apricot Blonde",880,0.051,85,497,"Dry Dock Brewing Company","Fruit / Vegetable Beer","other beer",12
"Colorado","CO","Fort Collins","Sunshine Wheat Beer",1690,0.048,85,83,"New Belgium Brewing Company","American Pale Wheat Ale","Ale",12
"Colorado","CO","Longmont","15th Anniversary Abbey Ale (2012)",720,0.09,85,167,"Oskar Blues Brewery","Belgian Dark Ale","Ale",16
"Colorado","CO","Longmont","Gordon Imperial Red (2010)",806,0.087,85,167,"Oskar Blues Brewery","American Double / Imperial IPA","IPA",12
"Colorado","CO","Denver","Graham Cracker Porter",1943,0.05,83,264,"Denver Beer Company","American Porter","other beer",12
"Colorado","CO","Denver","Rocky Mountain Oyster Stout",1035,0.075,75,425,"Wynkoop Brewing Company","American Stout","other beer",12
"Colorado","CO","Fort Collins","Shift",578,0.05,75,83,"New Belgium Brewing Company","American Pale Lager","other beer",16
"Colorado","CO","Broomfield","Disconnected Red",1067,0.067,74,221,"Big Choice Brewing","American Amber / Red Ale","Ale",16
"Colorado","CO","Boulder","Green Bullet Organic India Pale Ale",1322,0.07,72,430,"Asher Brewing Company","American IPA","IPA",16
"Colorado","CO","Arvada","Clan Warrior",2334,0.087,72,149,"Odyssey Beerwerks","Scotch Ale / Wee Heavy","Ale",12
"Colorado","CO","Boulder","Moirai India Pale Ale",1451,0.07,72,406,"Fate Brewing Company","American IPA","IPA",16
"Colorado","CO","Denver","Redacted Rye IPA",1176,0.07,71,111,"Renegade Brewing Company","American IPA","IPA",16
"Colorado","CO","Denver","American India Red Ale",1850,0.071,70,295,"Black Shirt Brewing Company","American Strong Ale","Ale",12
"Colorado","CO","Denver","Patty's Chile Beer",1345,0.042,70,425,"Wynkoop Brewing Company","Chile Beer","other beer",12
"Colorado","CO","Denver","Element 29",2008,0.052,70,82,"Epic Brewing","American Pale Ale (APA)","Ale",12
"Colorado","CO","Denver","Hop Syndrome",2004,0.05,70,82,"Epic Brewing","American Pale Lager","other beer",12
"Colorado","CO","Loveland","Little Red Cap",2339,0.063,70,145,"Grimm Brothers Brewhouse","Altbier","other beer",12
"Colorado","CO","Boulder","South Ridge Amber Ale",1057,0.06,69,473,"Crystal Springs Brewing Company","American Amber / Red Ale","Ale",16
